"Month,First_Expression,Review,Rating,Bert_sentiment,distilbert_sentiment"
"""Oct, 2022"",Excellent,I upgraded to 13 from xs and my experience with this had been extraordinary . The user interface and the camera is too good .Just in love with this extraordinary device .I just shared some photos clicked from this phone so that everyone can have an idea about how good the camera is compared all other flagship devices . The lens inside the device is so efficient that it automatically reduces the noise in the picture making it very crisp and clear .,5,5,Positive"
"""Aug, 2022"",Awesome,Best of best,5,5,Positive"
"""Apr, 2022"",Just wow!,Best phone in recent times I have used in my life,5,5,Positive"
"""Feb, 2023"",Worth every penny,Awesome camera..I m love it,5,5,Positive"
"9 months ago,Super!,""LOOK - Its my first love apple i phone 13, first time purchase this phone but its look awesome in white colour love it. hand feel too much premium.CAMERA - Mind blowing camera performance font camera and rear cameras take too much awesome qualities picturesNight mode is supergood low light performance impressed mePERFORMANCE - its bionic a15 chipset faster have 60hz refresh rate but its beatable 120hzDISPLAY - uts OLD XDR RETINA display too much good look display i get 10 of 10 for displa..."",5,5,Positive"
"""Aug, 2022"",Simply awesome,Superb Camera,5,5,Positive"
"""Feb, 2022"",Excellent,Nice Phone,5,5,Positive"
"""Sep, 2022"",Perfect product!,Superb camera.nice performance,5,5,Positive"
"""Aug, 2022"",Mind-blowing purchase,Camera is superb 🫡❤️,5,5,Positive"
"""Nov, 2021"",Mind-blowing purchase,Great performance 🥰,5,5,Positive"
"""Oct, 2022"",Wonderful,Just amazing,5,5,Positive"
"""Oct, 2022"",Perfect product!,""LOOK - Its my first love apple i phone 13, first time purchase this phone but its look awesome in white colour love it. hand feel too much premium.CAMERA - Mind blowing camera performance font camera and rear cameras take too much awesome qualities pictures . Night mode is supergood low light performance impressed mePERFORMANCE - its bionic a15 chipset faster ,have 60hz refresh rate but its beatable 120hzDISPLAY - uts OLD XDR RETINA display too much good look display i get 10 of 10 for d..."",5,5,Positive"
"""Oct, 2022"",Highly recommended,Nice upgrade!!Design superCamera is decentPerformance superBattery life is great,5,5,Positive"
"""Jan, 2022"",Really Nice,""My first I phone ..from a long time android user… apple camera is way ahead ,.. interface is better than android….overall premium features and feeling. .;but prices way aboveboard"",4,4,Positive"
"""Jun, 2022"",Fabulous!,Nice 👌 one go for it,5,5,Positive"
"""May, 2022"",Just wow!,""Reality is reality. Everything is working smooth, jist go for it without any hesitation. You won't be regret once you buy it."",5,5,Positive"
"""Dec, 2022"",Super!,very nice product camera quatily is super good i will switch from android to iphone i have very good experience .,5,5,Positive"
"""Oct, 2022"",Mind-blowing purchase,""Shifting from Android after 10 yearsCons in iphone or ios:1.Notification centre is a mess , many of notification you leave unread.2.No back gesture3.Camera unable to focus on small textCan't decline call when phone is locked4.Limited file sharing options5.File manager is useless as there is no app-linked folders6.Google apps syncing isn't that smooth , limited options for google drive.Pros in iphone or ios:1.No lag, every thing happens like snap2.Camera is so good3.Easily get fu..."",5,1,Negative"
"""Apr, 2022"",Fabulous!,Nice product,5,5,Positive"
"""Oct, 2022"",Excellent,Excellent mobile.. dream purchase,5,5,Positive"
"""Feb, 2022"",Great product,Beast phone …. Camera is exceptionally best,5,5,Positive"
"""Jul, 2022"",Brilliant,Awesome camera clarity,5,5,Positive"
"10 months ago,Super!,Excellent,5,5,Positive"
"""Mar, 2022"",Mind-blowing purchase,Goooood. Loved it😍,5,5,Positive"
"""Oct, 2022"",Brilliant,One of the best worth of money 💸💰,5,5,Positive"
"11 months ago,Brilliant,Outstanding camera and performance,5,5,Positive"
"""Oct, 2021"",Brilliant,""Camera quality, performance, battery ,everything is up to mark."",5,5,Positive"
"""Sep, 2022"",Wonderful,Very good,5,5,Positive"
"""Jan, 2023"",Brilliant,Very good quality photos. Love it❤️,5,5,Positive"
"7 months ago,Simply awesome,Camera quality is awesome ❤️ love this phone .,5,5,Positive"
"""Oct, 2021"",Fabulous!,""Amazing beast....As expected , didn't disappoint me,Had to sell hard chunk of kidneys to get it !!;pCamera quality is definitely a super upgradeBattery is super.. easily last throughout the day with heavy usage.Light weight looks stylish what else you need??Starlight color just wow!!!Apple it would have been better if you should have given an adaptor. Increase 2k price and give it in box!!!Simple ....Edit 1 : After 14 days of usage highly satisfied with battery performance, Last thr..."",5,5,Positive"
"""Oct, 2022"",Mind-blowing purchase,Finally Switched from android. In hand feel is super amazing. Photos comes out very good. Stereo Speaker is loud and clear. Screen quality is wow i mean watching experience is super satisfying.And the haptics is also very good .,5,5,Positive"
"""Oct, 2021"",Excellent,""It’s a camera and performance beast mobile no doubt, it feels premium in hand. It’s not that much value for money, I’d rather say no person buys apple products for value for money. Overall good product. Other than that it’s iPhone, go for it."",5,5,Positive"
"""Oct, 2022"",Worth the money,""After using of two week , I just love this phone , after shifting from android to iOS i feel so difficult form and boring for 5-6 days then updating to iOS 16 its too cool. from day one when when you use display camera may be a thought come in your mind omg I am spending that much of money for it but honestly when you use day bye day uhh definitely fall love with it .Battery backup was fantastic. And smart optimisation was fabulous.Display was mind blowing with it natural colour.And about..."",4,2,Positive"
"""Nov, 2021"",Worth every penny,Everything is best about it.. One of the best camera lens to capture low light pictures👍,5,5,Positive"
"""Sep, 2022"",Awesome,Simply superb ❤️,5,5,Positive"
"""Apr, 2022"",Terrific purchase,For Cinematographers 💯🪄,5,5,Positive"
"""Oct, 2022"",Must buy!,Just love it ❤❤❤,5,5,Positive"
"""Oct, 2022"",ONE OF THE BEST PURCHASE OF MINE:),""ProsOutstanding design - sturdy and water-proofed.Bright OLED screen, HDR10, Dolby Vision.Dependable battery life.Loud stereo speakers, excellent output.Unmatched performance, 5G.Great all-round photo and video quality across all three cameras.ConsMinor upgrade over iPhone 12.No 120Hz refresh rate.The notch is still an eyesore even if smaller.The fast charging can be handled better.iOS (with its limitations) remains a love it or leave it affair."",5,5,Positive"
"""Aug, 2022"",Just wow!,""First iPhone I’ve bought, and with my own money so all the more sweet! Have being using it from the last couple of months, I’ve been amazed at the usage, design, and inter-operability with Apple devices."",5,5,Positive"
"""Jan, 2023"",Excellent,Best in all aspects,5,5,Positive"
"11 months ago,Wonderful,* Battery last about 1.5days for the normal use* Display best among all* Performance top notch* Camera where the actual beast reveals so satisfying.Video clarity best in the segment.* Over all best Except the price 😜,5,5,Positive"
"""Jun, 2022"",Worth the money,Fantastic I phone 13 camera is superb performance also nice,4,5,Positive"
"""Oct, 2022"",Classy product,Nice experience,5,5,Positive"
"""Feb, 2022"",Best in the market!,Camera quality is superb 10/10Battery 10/10Overall is superb.❤️,5,5,Positive"
"""Oct, 2022"",Must buy!,BEST EVER EXPERIENCE 😍😍,5,5,Positive"
"""Sep, 2022"",Classy product,Loved it and thanks flipkart i bought it in exact sale and received the product on next day thanks for faster delivery flipkart ❣️,5,5,Positive"
"""Sep, 2022"",Simply awesome,Just love it ❤️Camera is goodNight mode is killerPerformance and display is bestFace id is very fastLooks very premium in handJust go for it without thinking too much !,5,5,Positive"
"""Oct, 2022"",Awesome,Amazing performance,5,5,Positive"
"""Oct, 2022"",Pretty good,It's way too amazing..,4,4,Positive"
"""Jun, 2022"",Highly recommended,Awesome camara….best for BGMI,5,5,Positive"
"""Oct, 2022"",Terrific,Camera quality is superb,5,5,Positive"
"""Sep, 2022"",Just wow!,First time I switched from Android to iOS and the feeling is awesome.It hasGood DesignGood CameraGood Battery BackupFabulous PerformanceBatter DisplayEverything in this phone is perfect.Thank you Flipkart for secure and fast delivery of a awesome product. 🥰,5,5,Positive"
"""Oct, 2022"",Terrific purchase,nice phone,5,5,Positive"
"5 months ago,Value-for-money,Excellent mobile,4,5,Positive"
"""Sep, 2022"",Excellent,""Picture quality is amazing you do not need to think twice about buying this for performance and photos, just go for it. Bionic A 15 is super fast and it has amazing performance,It is specially good for gaming although battery backup is not that good if you are a heavy user,But if you are a light or medium user it will give you battery backup of whole day in one charge."",5,5,Positive"
"""Nov, 2021"",Must buy!,Just upgraded from 11 to iPhone 13 ..cinematic mode video awesome camera awesome display awesomeLooks A1 battery life is also good.New filter mode in camera added,5,5,Positive"
"""Apr, 2022"",Terrific,This is lit 🔥🔥🔥,5,5,Negative"
"""Nov, 2022"",Super!,Battery life is good.Display is very good.Performance is great.Stereo sound is good.Camera is fantastic.In hand feel perfect.,5,5,Positive"
"""Oct, 2022"",Unsatisfactory,Phone was dead within 20 days span after I bought it in the sale. Hardware issues inside the mobile. Service centre people were changing the entire mother board. Don't purchase any electronic items from Flipkart sale. The myth is true.,1,1,Negative"
"""Sep, 2022"",Fabulous!,What a feeling ✨,5,5,Positive"
"""Apr, 2022"",Fabulous!,Overall satisfied purchase,5,5,Positive"
"""Oct, 2021"",Simply awesome,""Totally worth the price, better battery backup, amazing photos and videos."",5,5,Positive"
"""Jan, 2022"",Perfect product!,Awesome cameraAmazing battery lifeSuper xdr display is 💕👌🏻Playing games and day to day task are smoothFace ID is superbiOS 15 is really awesome 🤩 thanks to Apple,5,5,Positive"
"""Oct, 2022"",Worth every penny,Great camera for photos and videography.Overall great performance,5,5,Positive"
"""Sep, 2022"",Highly recommended,I loved it❤️,5,5,Positive"
"""Feb, 2022"",Classy product,Just loved this phone.,5,5,Positive"
"""Jul, 2022"",Delightful,Quality is quite good😊 SatisfiedBtw iPhone is a phone which increases the photo quality nothing else,4,5,Positive"
"""Dec, 2022"",Simply awesome,""Just loved it, Awesome 😍"",5,5,Positive"
"""Nov, 2022"",Brilliant,Very good camera quality is great 💓,5,5,Positive"
"""Oct, 2022"",Super!,AwesomeGreat experienceI shifted android to ios great use easy to learnBest wide angel camera,5,5,Positive"
"""Nov, 2022"",Excellent,""I switch to ios from android after 8yrsAs expected, didn't disappoint meAwsome camera 📸 picture quality is amazingAmazing battery health 🔋Face id is owsmI am satisfied to buy iphone 13"",5,5,Positive"
"7 months ago,Must buy!,Its nice phone camera and display very nice,5,5,Positive"
"""Dec, 2022"",Wonderful,""Excellent product, photo quality was great and video was excellent, good battery life and if it has more than 60hz refresh rate it would be great and everything else is great"",5,5,Positive"
"""Oct, 2022"",Best in the market!,My 1st Iphone. Really Awesome....,5,5,Positive"
"""Oct, 2022"",Must buy!,Performance very goodDisplay very goodBattery goodLook very good,5,5,Positive"
"""Sep, 2022"",Best in the market!,""Product as good as expected 😊Nice feature nice cameraVery good in all fields,❤️❤️❤️❤️❤️I phone 13 great product"",5,5,Positive"
"""Jul, 2022"",Fabulous!,It’s my first ever ios device I kinda loving it total value for money. Best ever budget smart phone and thank you flipkart for delivering it in one day.,5,5,Positive"
"""Nov, 2021"",Brilliant,""Very impressed with this order.. i phone 13 best in class , awsm camera quality, fastest in speed,Very happy with my product"",5,5,Positive"
"""Dec, 2022"",Fabulous!,Stunning 10/10,5,5,Positive"
"""Sep, 2022"",Brilliant,I loved the phone ... Especially the camera and parformence . Apple has done tremendous work in i phone 13 series,5,5,Positive"
"""Oct, 2022"",Wonderful,Value for money.,5,5,Positive"
"""Nov, 2021"",Highly recommended,If u have enough money .. surely GO FOR ITAlthogh there is no big difference between 12 and 13 but diagonal cameras make it look different and unique from othersPro level mobile.. these are just simple images taken randomly,5,5,Positive"
"""Sep, 2022"",Awesome,""Best Phone to go, Feels smooth and really good camera is really awesome and performance also at it's best.i got a best price totally worth it 👍🏻And delivery speed was Awesome 😎"",5,5,Positive"
"""Oct, 2021"",Just wow!,Got it in 2 days.so happy with the phone.starlight white is classy n suberb. That premium look is exquisite.Flawless ui... better battery backup.I am satisfied with the purchase.There is no phone like an iPhone :),5,5,Positive"
"7 months ago,Highly recommended,Awesome picture quality!!! Must go for it!!,5,5,Positive"
"""Oct, 2022"",Simply awesome,""Very happy with the purchase, got great discount during BBD. Reviewing after using for a week. From Performance and usability perspective, it feels perfect. If you are switching from android, you may face some issues with certain apps- from UI and usage perspective. Camera is top notch but better if you understand all the functions and capabilities first to utilise the camera fully. For example, burst mode, exposure and portrait settings. Some are evident while using but for some you need to ..."",5,5,Positive"
"""Oct, 2022"",Classy product,Very Nice Phone Camera Awesome,5,5,Positive"
"""Mar, 2022"",Great product,Awesome looking,5,5,Positive"
"""Oct, 2022"",Worth every penny,Such an amazing device. Bought 3 for all my family on Flipkart big billian sale. Thanks Flipkart,5,5,Positive"
"""Sep, 2022"",Terrific,Good,5,5,Positive"
"""Jun, 2022"",Fabulous!,Nice 👌 one go for it,5,5,Positive"
"""Dec, 2022"",Worth every penny,Excellent phone,5,5,Positive"
"""Sep, 2022"",Fabulous!,Fabulous 🤩,5,5,Positive"
"""May, 2022"",Brilliant,I loved it. Best feature is cinematic mode in video.. best portrait mode. Good performance and the best thing is its base storage of 128 GB.,5,5,Positive"
"""May, 2022"",Worth every penny,""Just shifted from Android to iOS .. The new iphone 13 is a great phone with a lot of improvements. It has the best camera on the market..it works good in low light, the software is much improved, and the battery life is long lasting."",5,5,Positive"
"""Oct, 2021"",Simply awesome,Very good phone I love I phone after 5 year androidThen switch to the I phone,5,5,Positive"
"7 months ago,Excellent,Camera quality and performance is extraordinary 🔥🔥,5,5,Positive"
"""Oct, 2022"",Awesome,Very nice phonesuperb performanceCamera is superb,5,5,Positive"
"""Oct, 2022"",Excellent,Perfect till the date.,5,5,Positive"
"""Jun, 2022"",Must buy!,I was a hardcore android user but after switching to Iphone 13 i can clearly feel the difference in terms of user experience and performance in every aspect.Iphone 13 camera is tremendous..Overall its a must buy product if ur pocket allows.,5,5,Negative"
"9 months ago,Just wow!,""Good battery life and camera just 🔥,really amazing better performance worth it."",5,5,Positive"
"""Jan, 2023"",Brilliant,Good performance and camera 😍😍😍😍,5,5,Positive"
"""Feb, 2022"",Wonderful,Nice product😍,5,5,Positive"
"""Nov, 2021"",Terrible product,Third class phone,1,1,Positive"
"""Sep, 2022"",Simply awesome,Amazing,5,5,Positive"
"""Oct, 2022"",Pretty good,Captures great photos.,4,4,Positive"
"""Sep, 2022"",Classy product,""best performance , camera is mind boggling"",5,5,Positive"
"""Sep, 2022"",Simply awesome,Marvellous💯Switched from android to IOSEverything works like butter,5,5,Positive"
"""Dec, 2021"",Mind-blowing purchase,A top notch! I’ve upgraded to it from iPhone 11. iPhone 13 is by far the most flawlessly performing piece of quality hardware & software in a phone in 2022. Totally worth the money!,5,5,Negative"
"""Oct, 2022"",Highly recommended,Awesome camera and amazing display,5,5,Positive"
"""Sep, 2021"",Highly recommended,I am very pleased that I bought the original iphone 13. Excellent and fast delivery. I've been waiting for him for a long.,5,5,Positive"
"""Feb, 2023"",Wonderful,It's Amazing Phone.Camera Quality SuperbDisplay Quality AmazingOver All Totally Amazing Phone..,5,5,Positive"
"""Jun, 2022"",Just wow!,""I did liked the phone alot, same as shown in images im glad that flipkart delivered it in one day, just a day now so can't say much. I will use it for a month and post detailed review."",5,5,Negative"
"""Dec, 2021"",Super!,Nice,5,5,Positive"
"""Feb, 2023"",Classy product,Aowsome. Just go for it.,5,5,Positive"
"""Oct, 2022"",Waste of money!,""Camera lens has dust particles,it has manufacturing defects and Flipkart refused to replace. Please don't ever but from Flipkart. I contacted Apple and they said Flipkart will replace and seller has the responsibility now I can not do anything with it.I regret buying from Flipkart offline sores are more reliable than Flipkart."",1,1,Negative"
"""Jan, 2022"",Really Nice,Overall great product,4,5,Positive"
"""Jun, 2022"",Terrific,best one,5,5,Positive"
"""Oct, 2022"",Terrific,""So, after using my IPhone for almost 3 weeks, My experience is amazing and as I expected. You should go for this."",5,5,Positive"
"""Apr, 2022"",Terrific purchase,My first Iphone..Best Phone i have ever uesd.Thank You.. Apple & Flipkart.♥️,5,5,Positive"
"""Oct, 2021"",Best in the market!,Best purchase ever and first phone,5,5,Positive"
"""Sep, 2022"",Wonderful,Good experience,5,5,Positive"
"""Apr, 2022"",Wonderful,Camera is next level.. Battery backup is also good .. Satisfied with product.. Worth I phone.. Just goo for it,5,5,Positive"
"""Sep, 2021"",Fabulous!,Best mobile,5,5,Positive"
"""Feb, 2022"",Worth every penny,My first iPhone So happy to use it.,5,5,Positive"
"""May, 2022"",Wonderful,Good mobile,4,5,Positive"
"""Apr, 2022"",Brilliant,Phone experience good,5,5,Positive"
"""Nov, 2021"",Not good,Getting light reflection visible on photo . Sometimes light dots. Which spoils photo/image.,2,2,Negative"
"""Dec, 2022"",Super!,Nice to see,5,5,Positive"
"""Apr, 2022"",Terrific purchase,This one is fabulous at every point.,5,5,Negative"
"""Feb, 2022"",Terrific,Awesome PHONE ALWAYS BEEN A IOS FAN,5,5,Positive"
"""Oct, 2021"",Classy product,The most premium feeling I ever had while holding a phone was of this iphone 13.This is my first iPhone apart from having ipad pro but i can guarentee you that it had the most premium in hand experience.The flipkart service was awesome and it got delivered before expected date. Hats off!Overall an excellent experience it was. An iphone is not hyped just for no reason. 👌,5,5,Positive"
"""Oct, 2021"",Excellent,""This is my first iPhone. I love the performance, camera and the user interface. Worth it."",5,5,Positive"
"""Apr, 2022"",Awesome,Camera is just absolutely brilliant. Check attached pics.Battery lasts for around 7-8 hours even with heavy usage. Light usage it will last longer. Performance wise absolutely banger. If any con there could be is only the notch. Just don’t forget to get screen guard and back cover before you get the phone.Starlight is color absolutely dreamy and gorgeous.,5,5,Positive"
"""Nov, 2022"",Just okay,Nice,3,3,Positive"
"""Jun, 2022"",Good choice,Products is good but too much daily,4,3,Positive"
"""Oct, 2022"",Fabulous!,""It's beautiful and apple. but when i look back at my S22 Plus, this feels like a mediocre device from apple. i am not saying it's bad, but android is way ahead in terms of performance, battery, camera (yess, samsung camera is amazing) and connectivity.It took me 30 minutes to connect and organize this iPhone to my car but android auto worked like magic and connects in less than 3 seconds. It's funny but this is real world data i am talking about. Then there are ads, i have system wide ad blo..."",5,3,Positive"
"""Mar, 2022"",Awesome,Very nice,5,5,Positive"
"""Oct, 2021"",Classy product,""First of all, this is a nice switch from Android in terms of software experience and optimizations.The kind of performance this iPhone offers is incredible. Even though this one is not having high screen refresh rates, it performs well compared to most of the android devices. Camera performance is fantastic, especially the cinematic mode is whole new experience.So far, under minimal calls, normal usage (like checking notifications atleast once in an hour), atleast 2 hours of streaming video..."",5,5,Positive"
"""Oct, 2021"",Fabulous!,""Reviewing after almost 1month of usage. Excellent camera, superb display, awesome in-hand feel, powerful performance. Super happy with the purchase. Battery backup is the only concern. Apple must work to provide better battery performance."",5,5,Positive"
"""Nov, 2022"",Hated it!,""Android to ios..? Freebird to locked in room. Almost your daily needs will be turned off.1.can't play music freely.2.you don't know what files in your phone.3.true caller functions which is very useful in Android is 90% limited in ios.4.No speed dial.5.No unlimited call history.6.Calculator will not showing any history as android.7.you cannot sync your contacts with Google.8.No quad hd screen, you can really feel the smoothness in flagship devices. Also just 6 inch screen which makes ..."",1,1,Negative"
"""Apr, 2022"",Awesome,""Excellent after using 1 week and played Pubg, experienced a good battery and display with faster processor. Loved it"",5,5,Positive"
"""Oct, 2022"",Terrific,Thank you 💞💞💞💞💞💞,5,5,Positive"
"""May, 2022"",Best in the market!,It’s my First iPhone And i love it.Thanks Flipkart for give me this at good price.,5,5,Positive"
"""Apr, 2022"",Good choice,Satisfied,4,4,Positive"
"""Aug, 2022"",Excellent,Luv this phone ❤️‍🔥❤️❤️‍🩹,5,5,Positive"
"""Sep, 2022"",Classy product,""iPhone 13 is amazing, big billion day deal makes more happy and yes the new green colour is superb"",5,5,Positive"
"""Apr, 2022"",Super!,Beautiful colour,5,5,Positive"
"""Jan, 2023"",Wonderful,Good decision for 13 super camera,4,5,Positive"
"""Sep, 2022"",Excellent,""What a product, first time bought it and felling fully satisfied.Quality and colour outstanding !Camera quality 4.5/5Performance 5/5No hitting issue !"",5,5,Positive"
"""Jul, 2022"",Classy product,Very nice,5,5,Positive"
"""May, 2022"",Wonderful,Camera is just litt 🔥,5,5,Positive"
"""Sep, 2021"",Must buy!,FIRST ONE TO REVIEW THIS... BUY IT...ITS IPHONE ..IT JUST WORKS,5,5,Positive"
"""Aug, 2022"",Best in the market!,No doubt best of the segment !!,5,5,Positive"
"""Apr, 2022"",Must buy!,As beautiful as pic and as good as it has too,5,5,Positive"
"""Sep, 2022"",Pretty good,Good camera,4,4,Positive"
"""Feb, 2022"",Worth every penny,super duper,5,5,Positive"
"7 months ago,Nice,Night photo quality good but indoor video quality worst samsung m21 video better then this,3,3,Positive"
"""Jan, 2023"",Great product,""After iphone5C, I bought this phone for 52k with offers. It was a great deal. Without any second thought I bought it just for camera and the Retina display. I was an android user before but the battery backup in iPhone 13 is awesome. The battery backup is 1.5days with normal use like calls, YT and music."",5,5,Positive"
"""Oct, 2022"",Good choice,Camera is awesome,4,5,Positive"
"""Sep, 2022"",Terrific purchase,Really Impressed With Camera and Battery after shifting from iphone 12. For Gaming- Gyroscope Sensors is more improved.Overall Performance is Very Good at this Price Range.You Should definitely buy iPhone 13 if you have this much budget.,5,5,Positive"
"""Sep, 2022"",Unsatisfactory,The product was good but the delivery was too bad. worst experience from flipkart,1,1,Negative"
"""Oct, 2022"",Super!,Excellent,5,5,Positive"
"""Sep, 2022"",Must buy!,Phone looks premium in hand so good,5,5,Positive"
"""Sep, 2022"",Excellent,Finally brought iphone 13 256gb first impression is excellent all thought i shifted first time from Android to ios... Will update you later i use it,5,5,Positive"
"""Sep, 2022"",Brilliant,""Very Nice camera, battery is also good, no lagging, no heating, it's an amazing phone, working like butter😊. 5 STAR🌟🌟🌟🌟🌟"",5,5,Positive"
"""Apr, 2022"",Worth every penny,Amazing,5,5,Positive"
"""Nov, 2021"",Wonderful,Camera quality is superb,5,5,Positive"
"""Oct, 2022"",Pretty good,Nice phone,4,4,Positive"
"""Sep, 2022"",Just wow!,Iphone 13 is amazing i switched from Samsung and Experience of This Phone is is amazing I have No word To Explain It's Features. I most Loved💖💖 it's stereo Speaker Sound feel Like Home Theatre..... Thank you flipkart for Best Price in Big Billion Day 2022. Open box and quick delivery,5,5,Positive"
"""Aug, 2022"",Awesome,It’s the best. Camera is awesome.,5,5,Positive"
"""May, 2022"",Very Good,Before iPhone 13 I was 11 user in 13 output sound quality is low rest features are good after 8 days use phone is good.,4,4,Positive"
"""Apr, 2022"",Highly recommended,Excellent,5,5,Positive"
"""Sep, 2022"",Classy product,Very nice Phone,5,5,Positive"
"""Sep, 2022"",Worth every penny,I got Beast in a good price. Thankyou Flipkart ❤️😍,5,5,Positive"
"""Nov, 2021"",Wonderful,Excellent item to buy.,5,5,Positive"
"""Sep, 2022"",Don't waste your money,Rate changed every single minute,1,1,Negative"
"""Nov, 2021"",Terrific purchase,Awesome Phone loved the features. After using OnePlus i am switching from android to IOS. Loved the experience. Got this phone delivered within 3 days on diwali.,5,5,Positive"
"""Sep, 2022"",Highly recommended,1. Excellent camera2. Powerful performance3. Very compact design and handy to hold4. Good battery back up5. Display is excellent6. Features are top notch,5,5,Positive"
"""Jan, 2022"",Super!,Best iphone product till date. So smooth royal blue color. Loved it. Thanks fr great service from flipkart,5,5,Positive"
"""Jun, 2022"",Nice product,Nice product,4,5,Positive"
"7 months ago,Super!,""Awesome phone with beautiful design. I love its night mode best camera, Overall battery is good and it's an iPhone End of discussion 😀"",5,5,Positive"
"""Sep, 2022"",Awesome,Awsome... 👌,5,5,Positive"
"""Mar, 2022"",Mind-blowing purchase,""Loved the Apple’s industrial design. All the basics were on point. My first ios device, really looking forward.No complaints about seller and Ekart team."",5,2,Positive"
"""Feb, 2023"",Simply awesome,I used it from 3 months as primary device. I truly said to you guys this phone is next level. Killer phone💯Camera🔥🔥Performance 🔥🔥Battery🔥🔥Build quality🔥🔥Display 🔥🔥,5,5,Positive"
"""Jan, 2023"",Worth every penny,Great,5,5,Positive"
"""Sep, 2022"",Best in the market!,Superb,5,5,Positive"
"""Nov, 2022"",iPhone gets most things right,""Every smartphone is essentially made up of 3 basic hardware things which when done right results in great experience. Speed, battery and screen.1. Speed: Even though the chip is one generation old its still way ahead than others in the market. You wont get a lag in day to fay activities. Its the same chip from base iPhone 14 series.2. Battery: Battery is also really good. It lasts me for one and a half day but it will easily last anyone atleast a single day. Charging speed is slow as compa..."",5,4,Positive"
"""Nov, 2022"",Great product,Awesome phone too much battery life,5,5,Positive"
"""Oct, 2022"",Hated it!,Phone performance is not goodphone getting stuck with small gameEven if you are playing small game regularly battery drained within some houri was wondering if we play some big game i think phone will not sustain.Also i have touch issue as well..when i am trying to close any app or back button.it won t respond in one clickPhone also have heat issue while charging.,1,1,Negative"
"""Sep, 2022"",Classy product,This is nice phone. You can buy it without any doubt in flipkart. Dont take bad rumors while buying it.Delivery is good and it is trustedBattery is goodCamera is goodPerformance is goodBuy a better a case and protect it with screen gaurd for a longer lifeThis is my review and hope you like itThank you,5,5,Positive"
"""Sep, 2022"",Simply awesome,A grt phone with grt camera and performance,5,5,Positive"
"""Mar, 2022"",Fabulous!,Good,5,5,Positive"
"""Apr, 2022"",Terrific,This is lit 🔥🔥🔥,5,5,Negative"
"""Mar, 2022"",Wonderful,Excellent piece of mobile from apple. Phone is very handy. Face ID detection is excellent. Sound quality is master piece. No negative point to mention. Really happy with the purchase.,5,5,Positive"
"""May, 2022"",Very Good,It’s feeling a genuine product after 2 months of use,4,5,Positive"
"""Apr, 2022"",Super!,In a single word wow 😮,5,5,Positive"
"""Oct, 2022"",Worth every penny,""I bought this mobile in may 2022, i wxchanged my old redmi not 7 pro for 8k, got this for 62k after that. So this my first ever flagship mobile and first i phone. So for a normal budget android user here are my reviewsCamera - just average, the pro models have better camera i guess, back camera is good and takes good pics, but front camera is too average, problem is android phones like redmi has too many gimmicks and it makes you look too attractive( which is fake) my wife likes redmi phone..."",5,5,Positive"
"""Sep, 2022"",Fabulous!,Best I phone,5,5,Positive"
"""Oct, 2021"",Great product,Awesome experience . camera quality is excellent,5,5,Positive"
"""Jan, 2022"",Perfect product!,""Best phone that I ever had. Shifting from android to iOS,I have a worthy journey. Great camera, great performance,so easy to use. Recomending everyone."",5,5,Positive"
"""Sep, 2022"",Absolute rubbish!,I am suffering heatup while charging my phone,1,1,Negative"
